Producto,Costo ,Precio ,Ganancia,Porcentaje de ganacia,Porcentaje de costo,Reducción permitida,,,,,,,,,,
Espresso DOBLE,8,13,5,"61,53846154","38,46153846",,,,,,,,,,,
Capuchino,"9,88",16,"6,12","61,75","38,25",,,,,,,,,,,
Flat White,"9,88",18,"8,12","54,88888889","45,11111111",,,,FRUTILLA 750GR,,,,,,,"1,97"
Latte,"9,98",18,"8,02","55,44444444","44,55555556",,,,"93,75",,,15ml ,,,,
Mocaccino,"10,8",20,"9,2",54,46,,,,"1,875",,,"34,87",,,,
Americano,"8,4",15,"6,6",56,44,,,,,,,"0,4301691999",,,,
Tinto Campesino,"9,13",17,"7,87","53,70588235","46,29411765",,,cacao ,,,,,,,,
Espresso Honey,"8,53",19,"10,47","44,89473684","55,10526316",,,50,"0,92",,,,,,,
Catuai rojo,"8,61",24,"15,39","35,875","64,125",,,,,,,,"6,666666667","5,247376312",,
Honey,"9,61",26,"16,39","36,96153846","63,03846154",,,,,,,,,,,
Té,"0,66",10,"9,34","6,6","93,4",,,,,,,,,,,
Sultana,"2,29",12,"9,71","19,08333333","80,91666667",,,,,,,,,,,
Mates etc,"0,5",10,"9,5",5,95,,,limón cuarto,"0,3",uso en venta d,uso en cafe,,,te,"0,25",
Te chai ,"1,2",22,"20,8","5,454545455","94,54545455",,,,,,,,,,,
te especial,"1,22",18,"16,78","6,777777778","93,22222222",,,miel,68,"25,84","0,43","65,78947368",,,,
Te chai con leche,"1,2",22,"20,8","5,454545455","94,54545455",,,,,,,"25,83979328",,,,
te especial leche,"1,12",20,"18,88","5,6","94,4",,,,,,,,,queque,32,
Affogato,"13,24",25,"11,76","52,96","47,04",,,,"7,55",,,,,,4,
Ice latte,"1,23",22,"20,77","5,590909091","94,40909091",,,lECHE POR VASO,"1,8875",,,,,,"4,5",
Americano Frio,"9,03",20,"10,97","45,15","54,85",,,agua,"0,4",,,"0,608",,Brazo gitano,4,
Te de especialidad frio,"1,75",22,"20,25","7,954545455","92,04545455",,,,,,,,,cheescake,80,
Jugo agua frutilla,"2,9",16,"13,1","18,125","81,875",,,"7,142857143",,,,te,27 gr x750,,10,
Jugo frutilla leche,"3,79",18,"14,21","21,05555556","78,94444444",,,"2,801120448",PULPA,,,125,"0,2125984252",cono,,
jugos exoticos agua,"3,9",20,"16,1","19,5","80,5",,,,,,"3,5",,,,,
Pulpas acai y copoazu,"5,69",20,"14,31","28,45","71,55",,,miel 2,25,,"3,818181818",,,,,
jugos exoticos leche,"4,2",22,"17,8","19,09090909","80,90909091",,,"0,625",,,,,,,,
Pulpas acai y copoazu leche,"5,69",22,"16,31","25,86363636","74,13636364",,,,,,,,"0,02",,,
queque de chocolate,"3,2",8,"4,8",40,60,,,,,,,,,,,
Queque de limón,4,8,4,50,50,,,,,,,,,,,
Queque de arándanos,"4,5",10,"5,5",45,55,,,,,,,,,torta,8,70
Brazon gitano,4,10,6,40,60,,,SOLO FRUTILLA,"1,9",,,,,,"8,75",
Cheesecake de maracuya,10,20,10,50,50,,,,,,,,,,,
Conos con cremas ,3,6,3,50,50,,,sultana ,1kg 20bs,125,,250 sale 45 te especial,,,,
Cuñapes ,4,7,3,"57,14285714","42,85714286",,,,,"0,16",,"62,5",,,,
Media luna de jamón y queso,3,6,3,50,50,,,,,,,"0,72",,,,
